stt,buying,maint,doors,persons,lug_boot,safety,acceptability
1,vhigh,vhigh,2,2,small,low,unacc
2,vhigh,vhigh,2,2,small,med,unacc
3,vhigh,vhigh,2,2,small,high,unacc
4,vhigh,vhigh,2,2,med,low,unacc
5,vhigh,vhigh,2,4,small,low,unacc
11,vhigh,vhigh,2,4,small,med,unacc
12,vhigh,vhigh,2,4,small,high,unacc
13,vhigh,vhigh,2,4,med,low,unacc
19,vhigh,vhigh,2,more,small,low,unacc
20,vhigh,vhigh,2,more,small,med,unacc
21,vhigh,vhigh,2,more,small,high,unacc
22,vhigh,vhigh,2,more,med,low,unacc
28,vhigh,vhigh,3,2,small,low,unacc
29,vhigh,vhigh,3,2,small,med,unacc
30,vhigh,vhigh,3,2,small,high,unacc
31,vhigh,vhigh,3,2,med,low,unacc
32,vhigh,vhigh,3,2,med,med,unacc
33,vhigh,vhigh,3,2,med,high,unacc
34,vhigh,vhigh,3,2,big,low,unacc
35,vhigh,vhigh,3,2,big,med,unacc
46,vhigh,vhigh,3,more,small,low,unacc
47,vhigh,vhigh,3,more,small,med,unacc
48,vhigh,vhigh,3,more,small,high,unacc
49,vhigh,vhigh,3,more,med,low,unacc
55,vhigh,vhigh,4,2,small,low,unacc
56,vhigh,vhigh,4,2,small,med,unacc
57,vhigh,vhigh,4,2,small,high,unacc
58,vhigh,vhigh,4,2,med,low,unacc
64,vhigh,vhigh,4,4,small,low,unacc
65,vhigh,vhigh,4,4,small,med,unacc
66,vhigh,vhigh,4,4,small,high,unacc
73,vhigh,vhigh,4,more,small,low,unacc
74,vhigh,vhigh,4,more,small,med,unacc
75,vhigh,vhigh,4,more,small,high,unacc
76,vhigh,vhigh,4,more,med,low,unacc
82,vhigh,vhigh,5more,2,small,low,unacc
83,vhigh,vhigh,5more,2,small,med,unacc
84,vhigh,vhigh,5more,2,small,high,unacc
85,vhigh,vhigh,5more,2,med,low,unacc
86,vhigh,vhigh,5more,2,med,med,unacc
100,vhigh,vhigh,5more,more,small,low,unacc
101,vhigh,vhigh,5more,more,small,med,unacc
102,vhigh,vhigh,5more,more,small,high,unacc
103,vhigh,vhigh,5more,more,med,low,unacc
109,vhigh,high,2,2,small,low,unacc
110,vhigh,high,2,2,small,med,unacc
111,vhigh,high,2,2,small,high,unacc
112,vhigh,high,2,2,med,low,unacc
113,vhigh,high,2,2,med,med,unacc
114,vhigh,high,2,2,med,high,unacc
115,vhigh,high,2,2,big,low,unacc
116,vhigh,high,2,2,big,med,unacc
127,vhigh,high,2,more,small,low,unacc
128,vhigh,high,2,more,small,med,unacc
129,vhigh,high,2,more,small,high,unacc
130,vhigh,high,2,more,med,low,unacc
136,vhigh,high,3,2,small,low,unacc
137,vhigh,high,3,2,small,med,unacc
138,vhigh,high,3,2,small,high,unacc
139,vhigh,high,3,2,med,low,unacc
140,vhigh,high,3,2,med,med,unacc
141,vhigh,high,3,2,med,high,unacc
154,vhigh,high,3,more,small,low,unacc
155,vhigh,high,3,more,small,med,unacc
156,vhigh,high,3,more,small,high,unacc
157,vhigh,high,3,more,med,low,unacc
163,vhigh,high,4,2,small,low,unacc
164,vhigh,high,4,2,small,med,unacc
165,vhigh,high,4,2,small,high,unacc
166,vhigh,high,4,2,med,low,unacc
167,vhigh,high,4,2,med,med,unacc
168,vhigh,high,4,2,med,high,unacc
169,vhigh,high,4,2,big,low,unacc
181,vhigh,high,4,more,small,low,unacc
182,vhigh,high,4,more,small,med,unacc
183,vhigh,high,4,more,small,high,unacc
184,vhigh,high,4,more,med,low,unacc
