age,balance,day,duration,campaign,pdays,previous,deposit
59,2343,5,1042,1,-1,0,yes
56,45,5,1467,1,-1,0,yes
41,1270,5,1389,1,-1,0,yes
55,2476,5,579,1,-1,0,yes
54,184,5,673,2,-1,0,yes
49,230,30,176,1,-1,0,no
42,558,6,186,2,-1,0,no
32,127,27,20,17,-1,0,no
43,4844,19,434,1,-1,0,no
26,826,29,177,1,-1,0,no
41,30,23,1003,1,-1,0,no
30,2708,19,479,1,-1,0,no
42,108,13,225,2,365,7,no
34,577,14,337,1,-1,0,no
31,703,8,943,2,-1,0,yes
35,3837,8,1084,1,-1,0,yes
32,611,8,541,3,-1,0,yes
49,-8,8,1119,1,-1,0,yes
41,55,8,1120,2,-1,0,yes
49,168,8,513,1,-1,0,yes
28,785,8,442,2,-1,0,yes
43,2067,8,756,1,-1,0,yes
43,388,8,2087,2,-1,0,yes
43,-192,8,1120,2,-1,0,yes
37,381,8,985,2,-1,0,yes
35,40,9,617,4,-1,0,yes
31,22,9,483,3,-1,0,yes
43,3,9,929,3,-1,0,yes
31,307,9,538,1,-1,0,yes
28,759,9,710,1,-1,0,yes
32,-1,9,653,1,-1,0,yes
60,65,9,1028,2,-1,0,yes
26,82,9,654,1,-1,0,yes
40,10,9,1692,2,-1,0,yes
33,390,9,665,2,-1,0,yes
32,311,12,757,2,-1,0,yes
35,414,13,504,4,-1,0,yes
33,5,13,1346,1,-1,0,yes
38,119,13,568,4,-1,0,yes
23,4,13,395,2,-1,0,yes
60,1262,13,1015,1,-1,0,yes
48,1949,13,683,2,-1,0,yes
45,-395,13,470,1,-1,0,yes
36,1165,13,1001,4,-1,0,yes
52,2240,13,845,1,-1,0,yes
35,300,13,945,2,-1,0,yes
43,3285,13,1721,2,-1,0,yes
52,3923,14,942,3,-1,0,yes
53,1443,14,476,1,-1,0,yes
48,24,14,832,1,-1,0,yes
41,1618,14,1553,1,-1,0,yes
39,517,14,1328,1,-1,0,yes
59,1521,14,1125,2,-1,0,yes
41,2823,14,858,1,-1,0,yes
48,1405,14,629,2,-1,0,yes
40,1535,14,704,1,-1,0,yes
48,1596,14,760,1,-1,0,yes
60,1542,14,930,1,-1,0,yes
40,3652,14,1028,2,-1,0,yes
57,-1,14,850,2,-1,0,yes
51,7180,14,927,1,-1,0,yes
41,5291,14,1423,3,-1,0,yes
41,1384,15,1162,4,-1,0,yes
52,-191,15,755,1,-1,0,yes
59,320,15,695,1,-1,0,yes
